971 9113
45 896 23.752
45 900 16.863
45 909 20.84
45 910 21.757
45 924 18.789
45 929 15.833
45 944 20.79
45 948 16.85
45 950 21.805
45 953 18.767
45 962 17.712
45 965 15.727
46 74 15.86
46 221 16.8
46 256 18.811
46 270 18.789
46 301 17.794
46 348 17.782
46 375 19.732
46 528 18.844
46 634 18.7
46 732 15.82
46 754 18.9
46 906 15.873
46 927 18.722
46 960 16.825
46 961 15.86
47 48 16.788
47 61 19.742
47 65 19.9
47 67 17.806
47 68 16.788
47 75 18.756
47 76 18.8
47 87 17.771
47 91 16.725
47 100 19.784
47 106 15.74
47 131 15.807
47 134 17.724
47 162 21.786
47 166 25.78
47 172 15.793
47 180 16.763
47 181 19.753
47 217 19.742
47 220 17.794
47 222 18.778
47 244 20.8
47 245 22.727
47 257 27.826
47 260 19.795
47 261 17.841
47 262 16.738
47 289 21.795
47 292 18.689
47 293 23.804
47 317 15.7
47 344 16.775
47 351 19.742
47 354 15.807
47 364 18.711
47 393 18.822
47 394 16.725
47 420 16.75
47 431 17.818
47 443 15.807
47 447 16.8
47 575 19.805
47 581 17.794
47 583 19.805
47 585 16.8
47 587 15.793
47 588 16.838
47 590 21.767
47 592 15.873
47 607 16.825
47 613 15.82
47 618 15.727
47 619 22.727
47 625 19.795
47 628 15.807
47 633 16.8
47 639 22.791
47 648 32.738
47 652 18.756
47 653 17.806
47 654 15.78
47 655 16.725
47 660 18.844
47 665 15.807
47 671 15.78
47 675 16.813
47 678 17.759
47 680 15.687
47 684 18.789
47 689 18.9
47 693 17.794
47 694 19.753
47 695 19.826
47 700 16.775
47 704 19.805
47 705 18.733
47 709 17.724
47 712 20.82
47 718 15.807
47 723 21.729
47 729 17.782
47 735 20.76
47 742 20.66
47 744 15.78
47 756 18.767
47 762 16.8
47 774 16.75
47 775 16.8
47 783 23.752
47 786 18.9
47 792 22.764
47 794 18.722
47 806 18.778
47 815 18.8
47 821 15.687
47 824 16.725
47 830 24.717
47 855 15.807
47 857 15.753
47 868 17.759
47 873 21.757
47 881 19.711
47 884 23.787
47 885 21.814
47 895 20.85
47 896 27.774
47 900 16.863
47 905 19.847
47 909 22.882
47 910 18.822
47 924 25.796
47 933 17.782
47 938 17.818
47 948 20.86
47 962 25.748
47 966 20.78
48 61 24.717
48 67 22.773
48 91 18.767
48 100 16.775
48 111 18.867
48 166 15.74
48 181 18.8
48 194 15.767
48 195 19.711
48 217 18.689
48 220 16.775
48 244 17.735
48 267 21.757
48 289 20.78
48 305 15.753
48 351 18.7
48 394 16.675
48 431 20.79
48 460 15.793
48 577 18.756
48 583 23.804
48 585 16.75
48 592 15.753
48 607 25.836
48 611 15.753
48 618 15.807
48 619 20.72
48 648 27.781
48 651 16.75
48 652 18.767
48 657 15.74
48 680 18.744
48 684 15.793
48 695 15.727
48 696 16.725
48 709 15.673
48 712 17.829
48 714 17.771
48 721 15.713
48 725 17.865
48 729 20.72
48 735 18.778
48 773 15.82
48 783 18.711
48 792 15.727
48 810 18.822
48 815 17.771
48 830 15.753
48 855 17.735
48 872 15.82
48 896 15.727
48 927 20.7
48 948 19.837
48 952 23.77
49 166 15.7
49 513 15.753
51 96 16.875
51 114 16.9
51 301 21.9
51 406 17.9
51 528 23.9
51 578 16.9
51 706 16.9
51 755 16.9
51 787 17.9
51 801 17.9
51 859 16.863
51 955 18.9
51 959 19.889
52 528 17.865
52 706 16.8
52 955 19.9
54 166 16.638
58 113 17.629
58 123 15.753
58 124 15.793
58 166 16.788
58 195 17.794
58 233 15.793
58 257 16.713
58 288 18.8
58 289 15.753
58 320 16.8
58 344 17.759
58 486 19.753
58 585 15.753
58 590 16.738
58 619 16.8
58 648 15.767
58 652 17.712
58 694 19.721
58 712 17.806
58 723 15.767
58 730 20.78
58 768 16.85
58 783 18.711
58 784 16.738
58 873 15.727
58 921 15.713
61 67 28.686
61 76 18.7
61 87 17.735
61 91 22.673
61 100 21.586
61 102 17.665
61 106 26.715
61 111 23.883
61 162 15.753
61 166 17.665
61 181 21.767
61 195 17.653
61 217 21.662
61 220 19.679
61 244 26.708
61 245 15.553
61 257 15.687
61 267 19.742
61 280 18.656
61 289 24.692
61 329 16.663
61 331 15.727
61 351 22.673
61 354 16.763
61 381 16.663
61 394 19.7
61 431 18.7
61 446 16.763
61 456 16.788
61 577 16.713
61 583 23.735
61 585 19.711
61 592 15.713
61 594 15.727
61 602 15.767
61 607 24.733
61 617 15.687
61 619 22.727
61 639 17.7
61 647 16.775
61 648 26.7
61 652 23.743
61 655 17.582
61 657 16.725
61 660 16.725
61 675 15.7
61 678 18.756
61 680 20.59
61 684 16.663
61 693 15.753
61 700 16.75
61 704 16.688
61 712 21.748
61 714 17.747
61 718 16.725
61 723 18.622
61 725 22.873
61 729 27.715
61 735 21.7
61 744 17.782
61 762 16.725
61 775 15.767
61 781 18.633
61 783 18.7
61 786 18.889
61 788 15.66
61 792 19.626
61 809 17.688
61 810 19.732
61 815 18.722
61 830 18.667
61 855 22.791
61 858 15.673
61 862 16.663
61 881 15.673
61 896 19.7
61 897 15.687
61 910 17.688
61 927 19.584
61 936 16.7
61 938 15.767
61 939 15.74
61 943 15.753
61 944 16.788
61 948 20.76
61 952 28.671
61 962 20.68
64 80 17.747
64 102 17.829
64 134 15.793
64 244 16.775
64 364 15.793
64 581 19.784
64 583 15.713
64 619 16.675
64 648 17.735
64 652 15.66
64 657 20.72
64 709 19.774
64 712 21.786
64 735 15.78
64 778 16.838
64 925 19.816
64 927 21.738
64 948 16.813
65 68 16.9
65 106 15.9
65 124 15.9
65 134 17.9
65 162 17.9
65 166 17.9
65 172 19.9
65 180 15.9
65 217 17.9
65 220 20.9
65 244 19.9
65 245 16.9
65 256 15.9
